Region_Code,Prefecture,City,LA03,LB00,LB01,LB011001,LB012001,LB012002,LB013001,LB013002,LB013003,LB013004,LB013005,LB013006,LB013007,LB014001,LB014002,LB014003,LB02,LB021101,LB021102,LB021103,LB021104,LB021105,LB021106,LB021107,LB021108,LB021109,LB021110,LB021111,LB021112,LB021113,LB021114,LB021115,LB021116,LB021201,LB021202,LB021203,LB021204,LB021205,LB022001,LB022002,LB022003,LB022004,LB022006,LB023001,LB023002,LB023003,LB023004,LB024001,LB024002,LB024003,LB024004,LB024005,LB03,LB031001,LB031002,LB031003,LB031004,LB031005,LB032001,LB032002,LB032003,LB032004,LB04,LB041001,LB042001,LB042002,LB042003,LB042004,LB042005,LB043001,LB05,LB051101,LB051102,LB051103,LB051104,LB051105,LB051106,LB051107,LB051108,LB051201,LB051202,LB051203,LB051204,LB051205,LB051206,LB051207,LB051208,LB051209,LB051210,LB051301,LB051302,LB051303,LB051304,LB051305,LB051306,LB051307,LB051308,LB051309,LB051310,LB051311,LB052001,LB052002,LB052003,LB052004,LB052005,LB052006,LB053001,LB053002,LB053003,LB053004,LB054001,LB054002,LB054003,LB054004,LB054005,LB054006,LB054007,LB054008,LB06,LB061001,LB061002,LB061004,LB061005,LB061006,LB061007,LB061008,LB061009,LB061010,LB061011,LB061012,LB061013,LB061014,LB061015,LB062001,LB07,LB071001,LB071002,LB072001,LB072002,LB072003,LB072004,LB072005,LB072006,LB072007,LB072008,LB072009,LB072010,LB072011,LB072012,LB072013,LB072014,LB072015,LB072016,LB08,LB080001,LB080002,LB080003,LB080004,LB080005,LB080006,LB080007,LB080008,LB080009,LB080010,LB080011,LB080012,LB080013,LB080014,LB080015,LB080016,LB09,LB091001,LB091002,LB091003,LB091004,LB091005,LB092001,LB092002,LB092003,LB092004,LB092005,LB092006,LB092007,LB092008,LB092009,LB092010,LB092011,LB092012,LB10,LB101001,LB101002,LB101003,LB101004,LB102001,LB102002,LB102003,LB103001,LB103002,LB103003,LB103004,LB103005,LB103006,LB103007,LB11,LB110001,LB110002,LB110003,LB110004,LB110005,LB110006,LB110007,LB110008,LB12,LB121101,LB121102,LB121103,LB121104,LB121105,LB121106,LB121107,LB121108,LB121109,LB121110,LB121201,LB121202,LB122001
R00000,All_Japan,All_Japan,2.88,1085539,91820,30111,10713,23530,3777,2325,1517,4716,5833,2412,732,651,1787,3717,75069,5356,960,404,1682,828,5063,831,668,1024,2818,1648,1132,2950,1705,6822,4174,395,324,748,987,393,2530,2052,1587,552,6880,2426,2028,3214,1642,859,3010,889,2968,3521,100009,21217,34262,19258,3280,3228,4706,8004,2539,3515,53146,15836,938,14105,1368,7077,794,13027,112135,3164,1947,1462,3484,2656,2641,1026,6747,1293,2871,758,1737,2780,987,4199,996,673,3331,1700,1696,3498,2154,8082,2311,1952,1898,1374,2527,4924,389,366,3261,1576,727,2984,5330,3010,4759,906,1634,1414,1131,617,5034,1281,417,2431,42925,4757,4512,567,2200,1858,3514,1039,1103,1495,927,3547,6111,2365,5131,3800,49162,4828,642,440,1800,2220,1149,755,825,791,1727,2231,1389,1487,4146,2654,1920,5471,14687,104821,745,930,10161,897,7630,2377,1859,10920,6924,5628,6846,2659,7057,2577,12306,25308,156940,18460,15890,6164,6869,20235,2551,6360,2261,2287,13590,1177,1984,2755,1660,11177,3859,39662,67488,3187,878,1672,8633,8389,5704,420,7467,7771,5757,2868,4421,1595,8726,45358,5440,5782,12985,2838,3339,8363,5242,1369,186665,7467,8752,3036,16577,26615,5121,13378,8444,6446,54738,10261,18073,7756
R01100,Hokkaido,Sapporo_shi,2.77,1007628,91994,35984,9366,19957,3515,2057,1558,4663,6428,2207,666,565,1467,3560,78324,5327,203,173,1432,1257,7588,726,918,409,1237,1285,1195,2776,2142,7744,3105,433,399,825,2214,758,3040,2047,768,129,8754,1751,1617,3385,1489,673,4396,509,3147,4473,95575,11562,35713,19818,1919,5350,4008,8913,2669,5623,49280,14015,707,11463,1518,8409,670,12497,106859,3271,2289,1554,3466,2576,2803,1124,8235,1557,2771,289,1958,2580,909,4416,668,661,3266,1066,1646,3096,2417,7168,2564,1789,1733,1219,2360,3391,346,347,2917,1313,529,2672,4574,2378,5066,651,1507,1993,933,347,4611,1120,353,2360,38320,4205,4577,420,2123,881,2085,1502,667,1332,1824,2713,5673,2311,4175,3832,45910,4558,423,464,1536,1877,1047,746,659,734,1731,1805,1431,1562,3691,2348,1564,5531,14206,102344,618,542,8976,779,7130,2234,1550,12074,5223,5193,7555,3025,7543,3282,12827,23793,122619,14038,13170,5982,5696,14737,1387,4893,1422,1590,12202,1002,1647,3052,1483,8779,1233,30304,64735,2560,831,1395,8743,9227,5626,471,6193,10096,3779,2840,3424,1349,8199,50553,5861,5337,15615,3676,4526,7269,6837,1434,161115,7170,7627,2385,17303,23714,3580,18638,8162,4823,26979,7456,21073,12205
R02201,Aomori_ken,Aomori_shi,2.79,1010524,87921,29339,9621,19671,3387,2771,1288,6192,8326,2491,549,575,1124,2587,87939,5406,613,601,1659,1704,6418,567,754,724,1781,2730,1037,2955,1728,8361,3321,371,913,348,3046,930,3199,2985,937,467,10211,1791,2073,3290,1473,571,5881,434,3515,5146,92579,14844,32816,16959,1428,4156,4405,9659,3051,5261,48422,15228,908,13120,1084,6527,626,10928,116364,3447,2317,1282,3406,2741,3246,1437,7418,1298,2355,261,1755,2659,1109,4486,706,662,3811,1942,1558,3061,2617,8317,2057,1914,1763,1204,2820,3616,178,275,2907,1861,1174,3095,5103,2542,6732,869,2142,2216,1416,603,5348,1238,278,3120,40395,8246,3828,575,1847,665,1780,812,729,1321,1600,3006,6519,2532,3474,3459,46003,4681,767,413,1417,2080,861,853,799,691,1707,1920,1101,1433,3949,2222,1669,6330,13110,98602,643,370,8896,449,6561,2319,1855,10512,7147,4616,7662,2530,5726,2866,12287,24164,145251,19279,15965,5172,5474,17250,2073,5680,2070,2151,14830,889,1679,5063,1887,9230,1519,35039,74638,2231,493,1336,9490,8297,7545,344,10508,11210,6370,3002,2729,2172,8912,62506,6761,7756,18770,4574,4154,11306,7612,1574,109903,5019,9757,1246,14942,16945,3117,9401,7194,4529,20519,4626,11361,1247
R03201,Iwate_ken,Morioka_shi,2.85,1042728,86816,28660,8716,20144,3730,2603,1423,6475,7023,2342,792,585,1344,2980,73833,5150,513,330,2066,888,5281,556,910,446,1681,1590,954,2542,1338,6143,3917,350,504,800,1446,628,4151,1859,921,297,8319,1421,1952,3010,1191,694,4034,465,3135,4351,81304,10223,31713,15993,1505,3366,4186,7878,2433,4007,51794,15578,622,15778,1186,6696,694,11241,119020,3402,2547,1312,3240,2410,3201,1365,7515,1188,2223,760,1888,2877,1215,4085,754,527,3450,1622,1586,3427,2118,6854,2123,1936,2049,1453,3567,4130,250,367,3278,2666,903,3127,7115,3261,6950,1101,1939,1522,1652,591,5579,1056,341,2498,44230,8095,4163,479,2414,1064,2681,1057,749,1626,1012,3648,6302,2364,4590,3986,48999,4662,622,417,1839,2581,1010,798,620,739,1572,2070,1193,1533,4650,2297,1716,6452,14228,109608,956,467,9434,475,7831,3211,1964,10087,7754,5646,6752,2390,8040,2459,13587,28556,137790,15317,14478,5501,5175,16477,2158,5935,2019,2305,13519,977,1804,3156,1729,9734,2601,34905,71382,2501,679,1571,9010,9460,5763,538,9614,10281,4907,2719,2841,1860,9640,59409,7136,6480,18264,2962,4009,10641,8013,1904,158544,6927,11244,2494,14794,14403,2200,7384,7674,4926,47895,7112,20520,10972
R04100,Miyagi_ken,Sendai_shi,2.92,1065052,86729,26933,10030,21414,3400,2138,1616,5185,7189,2167,790,531,1418,3918,74346,5989,500,328,2349,864,4687,537,916,363,1706,1448,1017,2613,751,5936,3146,314,348,982,1059,394,3197,1803,1522,296,6344,1754,1530,8056,1652,727,3327,743,3381,3766,90920,12632,34711,17888,1758,4103,4288,8366,2638,4536,54102,15100,834,15026,1380,8219,739,12805,119907,2991,2163,1402,3195,2316,2907,1241,8760,1374,2899,849,1909,2878,1132,4084,929,811,3364,2032,1850,3808,2325,7943,2675,1748,2081,1453,3424,4371,374,414,3177,2478,807,3305,5416,2960,6195,1064,1956,1429,1210,661,5520,1053,297,2676,42925,4411,4425,693,2579,1714,2434,912,1534,1551,786,3732,5472,2330,6073,4279,48372,4907,455,425,1676,2363,937,704,723,796,1573,2021,1343,1467,4641,2611,1885,5226,14619,109057,682,936,10875,724,7701,2517,2003,11881,7133,6584,7687,2814,8027,3059,12744,23688,149087,18308,14197,7112,7795,20135,2111,7348,2258,2702,14300,1276,1887,2985,1803,9114,1865,33890,68451,3180,1120,1540,9033,8591,5536,406,7061,9263,5294,3574,3532,1619,8702,48831,6729,4720,11924,4837,3843,6624,8207,1948,172324,9406,14207,4355,17554,28348,3858,14261,7886,6238,24913,10027,20529,10741
R05201,Akita_ken,Akita_shi,2.66,1030621,82086,24802,8532,18253,3828,3943,1361,6331,7215,2379,613,680,1251,2899,81124,5322,1065,540,1649,1990,5835,786,979,611,2066,2159,821,3133,1262,7093,4123,316,657,556,1328,574,4699,2851,892,289,7991,1510,1807,3316,1440,688,4371,1295,3181,3928,92656,12275,37909,18991,1442,2714,4253,8374,2844,3854,51269,15151,663,13879,1182,6969,721,12705,126284,3627,3095,1526,3549,2796,3174,1418,9041,1498,2656,584,1950,2882,1206,3997,773,640,3979,3397,1788,3591,2681,8486,2381,2445,2022,1511,4173,4104,488,276,2941,1847,904,3687,5949,2612,6875,640,1738,1691,1675,436,5355,1160,613,2428,45162,6512,4391,535,2212,1953,2998,1068,917,2134,1903,3308,6534,2330,4560,3807,49441,4686,591,429,1801,3075,1163,877,643,663,1829,1794,1377,1477,4197,2479,1897,6739,13723,100988,709,680,10352,603,6611,2395,1791,10948,6778,4625,7142,2466,6674,2489,11188,25535,134194,14940,11599,4803,6563,15771,1994,4671,1713,1906,11199,960,1501,3003,1411,10589,2275,39296,64373,2630,807,1774,7358,9215,4961,391,8158,8727,4750,2191,3624,1843,7943,59561,10089,6544,15661,4994,4310,10766,5794,1402,143483,6952,11919,2707,16134,19689,2598,8868,8536,4181,25919,6027,16841,13111
R06201,Yamagata_ken,Yamagata_shi,3.01,1134379,89965,30284,9119,18846,4861,3558,1571,6445,6781,2344,812,600,1870,2873,77837,5734,513,232,2174,741,4780,369,847,493,2269,1927,1056,2646,1336,5552,3628,525,168,858,1553,489,4504,2776,1208,318,8524,2045,2152,3649,1748,714,3793,1101,3545,3867,107017,24808,35625,17545,1967,5348,4395,8772,3412,5145,56116,16033,801,17109,1247,7760,868,12297,125011,2940,2906,1195,3727,2589,3206,1460,9946,1207,2442,1856,1747,2685,1197,3738,881,1267,3246,2140,1582,4081,2614,6642,2188,1834,1997,1780,4270,4010,391,267,3105,2141,1112,3677,5938,3439,6461,734,2910,1264,1202,954,5921,1273,343,2503,53608,6759,4195,785,2360,3176,4266,972,1350,1792,927,3632,5838,2205,11247,4105,52008,5181,480,507,2941,2719,1199,729,738,735,1812,2088,1183,1680,4377,2470,2146,5902,15121,117036,821,958,13345,455,7434,2773,1919,12812,9477,6472,7452,2576,7935,3417,14068,25121,145481,14450,14100,5644,6847,17863,2015,6400,2148,2469,15384,1067,1445,3618,1717,12463,3200,34651,65819,2756,762,1363,8254,8820,5348,457,7819,8844,5246,2242,3668,2084,8159,53507,7029,5430,14371,4503,3980,10057,6371,1765,190974,10980,21695,3695,21005,27334,4757,17840,11064,5387,20910,8729,20940,16636
R07201,Fukushima_ken,Fukushima_shi,2.85,1088652,92729,34504,8618,21048,3320,2718,1538,5049,7723,2342,952,659,1361,2896,75149,6681,469,267,2559,715,4167,462,773,557,1556,1662,983,2211,967,4613,3968,424,333,565,1018,310,4024,2525,1849,360,7836,2357,1758,3688,2206,725,4228,1040,3230,4066,86661,11187,36907,15269,1094,2870,4861,7708,3133,3630,56133,14998,1124,16160,1090,7436,680,14644,116640,3115,2094,1365,3079,2386,2966,1257,8130,1052,2633,752,1880,2927,1020,3725,670,712,3388,1793,1592,3968,2288,6344,2103,1906,2175,1499,3235,3562,444,179,3444,2031,771,2979,5760,3019,7102,1052,1936,1396,1326,952,5927,1726,483,2497,46910,6122,3926,528,2294,2168,3274,822,6663,985,434,3445,6202,1503,4727,3818,50308,5064,501,446,1792,2465,1183,803,790,717,1930,2090,1104,1466,4457,2441,2227,6284,14546,115772,811,1717,11437,685,8852,2578,2231,10861,9203,5975,7654,2656,6678,3375,14409,26650,164099,20775,14860,6436,8406,19191,2044,8366,2528,2443,14691,1154,1896,3147,2364,13035,6026,36736,75689,2611,709,1942,10075,8585,6196,371,8006,9615,8040,3811,4484,2019,9223,48452,9366,5639,13258,3005,3172,7363,5550,1100,160109,8311,13031,3096,17887,29010,4163,13250,5730,5617,25450,7515,17771,9277
R08201,Ibaraki_ken,Mito_shi,2.77,1039068,80585,24428,9800,19982,3648,2659,1369,4554,5356,1791,682,575,2366,3373,71321,5732,494,272,3023,893,4830,652,878,469,1581,1251,937,2000,986,4916,4470,214,990,480,701,360,3525,2474,2320,726,6549,1868,1411,3097,1631,717,3503,1074,2967,3324,79115,12325,30738,14971,1872,1940,4872,7435,2279,2682,55572,14872,1463,17665,1209,7414,586,12361,106738,2642,1588,1053,2849,2355,2641,893,5922,973,2467,571,1772,2518,812,3717,908,423,3270,1354,1604,3582,1858,7737,2147,1892,2045,1181,2740,4465,466,313,3445,1816,719,2741,4870,2887,6797,812,1633,1440,1077,583,5258,1360,375,2164,49747,5328,5188,676,2573,2560,3658,938,1214,1978,3823,5025,6153,2796,4231,3606,45871,4655,461,476,1649,2287,1133,799,696,651,1566,2146,1200,1314,4536,2475,1709,4791,13328,109981,1176,1254,9681,1270,7607,2618,2060,9886,9772,5632,6121,2581,6770,2751,12383,28420,154194,19684,14382,7138,7607,19411,2038,6690,2016,2560,12393,1173,1722,3432,2094,11776,5778,34301,74575,3759,1146,1490,11007,9749,5628,428,7725,7689,6605,2572,5397,1758,9623,40844,6398,5518,11727,2855,3233,6057,3987,1070,170527,8669,10094,2727,16013,29399,6135,19167,7301,5762,32593,8864,18292,5511
R09201,Tochigi_ken,Utsunomiya_shi,2.86,1104144,86277,25608,10398,21906,3801,2678,1493,4906,6014,2009,726,753,2007,3980,73335,7403,594,277,1772,550,4464,654,704,488,1673,1316,929,2335,1278,5353,4499,393,353,548,1242,315,3363,2188,2363,498,6847,1995,1621,2571,1944,736,3912,1153,3563,3442,88229,15878,32825,17085,1895,2490,5008,7566,2553,2928,51603,15293,688,14401,1385,7441,951,11445,112314,3037,1799,1169,3074,2780,2899,926,6614,1252,2380,764,1887,2685,973,4108,826,544,3499,1509,1594,3673,2031,8759,2267,1959,1919,1117,2946,5112,418,217,3037,1691,691,2969,5143,2460,6087,1313,1587,1507,1007,660,5541,1268,391,2225,45953,4933,5695,669,2456,3379,2744,912,1084,1348,857,5296,6087,2263,4380,3850,48604,4792,487,425,1613,2099,1013,775,891,763,1759,2675,1474,1312,4275,2592,1893,5105,14659,109191,1043,1037,10023,674,8824,2385,2208,11332,8072,6249,6953,2531,7305,2971,13596,23989,168313,22347,14982,6346,8152,21669,2966,8058,2362,2397,14050,1165,3192,3339,1931,12635,2254,40469,74029,3857,848,1654,11130,8466,4822,456,8694,8515,7124,2895,4458,1962,9148,42203,6428,5402,11308,3675,2995,6135,5111,1150,204092,10233,13592,3871,18682,32241,6613,22654,7157,6938,41081,10224,19874,10934
R10201,Gumma_ken,Maebashi_shi,2.83,1019513,94004,34083,9075,24000,4751,2115,1465,4757,5593,2079,587,576,1510,3412,66770,7129,501,269,1086,548,5265,693,482,495,1373,1291,902,1828,1150,5108,3959,534,336,643,710,288,2343,2570,1736,569,5621,1942,1714,2661,1741,750,3443,836,2961,3295,76288,10886,30074,14437,1865,2154,4336,7149,2269,3118,50555,14547,862,15687,1036,6765,648,11010,108047,2680,1824,1058,2863,2307,2245,860,5694,1217,2456,782,1571,2672,905,3597,749,443,3374,1431,1670,4260,1615,9043,2215,2272,1598,1398,2641,4957,369,142,3175,1905,550,2774,4950,2839,6383,700,1450,1311,1059,498,5675,1208,305,2357,41947,5874,4555,540,2153,2674,2849,432,918,1218,574,4222,5652,2240,4807,3236,45995,4447,571,505,1575,2229,895,733,705,772,1558,2621,1722,1410,4321,2381,1700,4706,13145,96160,660,1318,8303,744,7083,2292,1675,9050,6631,4700,5601,2244,6148,1935,11885,25889,158571,26759,17727,6226,7216,21212,2035,6043,1861,2477,13304,1285,2070,2580,1507,9928,1605,34736,72304,2753,604,1577,10792,8137,5597,406,7744,6989,8897,2838,4929,1949,9093,37961,4643,5361,10956,3012,2362,6206,4204,1217,170912,8331,9835,4607,13774,21368,4888,13133,7454,6778,49591,7524,16357,7271
R11100,Saitama_ken,Saitama_shi,2.97,1241015,98523,30963,11636,27220,4036,2453,1772,4746,5668,2200,901,569,1821,4536,73446,6598,936,358,1758,528,5302,863,736,774,2535,1301,1286,2665,1429,6618,3904,508,355,528,854,402,2934,2131,1749,683,6020,1939,1717,2876,1934,830,3439,672,3186,3101,97196,16588,37069,19412,3320,2560,4741,7547,2734,3226,58813,16830,1140,17175,1341,8576,995,12757,128194,3134,2277,1356,4102,2880,3345,945,8308,1236,3313,783,2013,3401,968,4791,1237,789,3677,2173,2113,4262,2605,10445,2864,2150,1880,1359,3241,6738,387,285,3504,1825,652,3153,5522,2909,5597,1002,1623,1647,884,593,5667,1200,342,3017,47768,4947,4081,646,2656,1576,3362,848,1235,1619,1198,4927,6189,3293,6606,4585,52410,4960,589,496,1694,2435,886,793,696,801,1555,2737,1528,1480,4843,3013,1838,5310,16756,119010,865,1081,10828,961,9539,2679,2156,12475,8254,6951,7188,2880,8393,3082,13886,27794,182878,23640,14727,8299,9136,25021,2640,8738,2189,2566,13402,1586,2412,3772,1761,13550,5583,43855,75557,2942,1283,1963,10316,9147,6440,515,8277,8840,6058,3109,6031,1362,9273,48837,6399,4369,13624,3238,5833,7912,5771,1692,258383,9451,11134,4955,18227,29234,5747,15924,11517,7710,86834,13941,33081,10626
R12100,Chiba_ken,Chiba_shi,2.78,1188666,93215,30547,11055,24404,3614,2249,1676,4549,5607,2160,893,728,1702,4031,80506,7718,1131,548,1742,672,5686,843,714,861,2873,1544,1019,3159,1727,6955,4090,526,300,943,1047,615,2440,1997,1820,1048,6608,2115,1768,3419,2206,869,3553,970,3377,3603,99086,20470,35688,19204,2885,2130,5273,7543,2828,3067,56873,16535,1072,15816,1611,8144,833,12862,124613,3089,2284,1515,3902,3063,3033,983,8149,1322,3256,883,1971,2859,960,4639,1133,851,3871,2225,2090,3954,2733,9625,2702,2231,1748,1275,2672,6306,308,452,3537,1704,733,3155,5235,2851,5189,1059,1602,1365,1166,711,6135,1148,337,2602,51604,5580,4767,821,2555,3610,4449,1308,1309,2145,1202,3861,5964,3118,6369,4544,50047,4983,607,431,1688,2168,1042,674,720,828,1553,2434,1669,1463,4155,3186,1601,5057,15788,113010,1286,837,10407,1168,8678,2876,2137,11911,7810,5888,6100,2385,8300,2451,12206,28572,176338,22312,15939,6834,8646,22853,2686,7578,2128,2513,12456,1441,2076,3123,1643,13477,4810,45821,72507,3648,1097,1602,10186,8916,5501,464,7388,7654,5802,2859,5949,1720,9722,44575,5428,5108,11537,3496,5702,7101,5105,1099,226294,7493,10098,4041,18569,27322,6422,16466,8819,6562,78795,12899,20660,8147
R13100,Tokyo_to,Ku_areas_of_Tokyo,2.91,1286105,92765,27080,11806,25932,3656,2383,1924,4964,5075,2098,999,549,1951,4351,84278,8158,1004,437,1772,693,5788,703,738,1066,2945,1702,1351,2958,1273,8348,4766,572,429,924,1250,482,2511,2438,2194,830,6995,2268,1607,3146,2082,913,3792,854,3400,3888,108001,23918,38126,20516,3389,2794,5641,7395,2783,3440,58506,16443,1307,15990,1800,9446,1071,12450,133150,3369,2296,1466,4321,3367,3200,977,9679,1299,3174,964,2064,3031,954,4586,1173,941,4436,2839,2093,4170,2780,10831,3049,2057,1872,1272,3195,7083,364,392,3753,1746,765,3316,5455,3079,5102,859,1702,1791,1172,678,6022,1184,368,2863,50856,4760,4753,749,2838,1944,4059,1253,1258,1940,1009,4597,5933,3029,7590,5144,52712,5304,555,464,1652,2383,887,744,728,849,1473,2388,1807,1379,4622,3120,1791,5263,17303,114558,1165,721,10712,1092,8897,2592,2017,12889,7948,6911,6309,2582,7773,2564,12995,27389,189271,25742,16603,6932,10151,24262,3126,8707,2115,2556,13474,1705,2110,3551,1720,11019,4131,51367,73466,3444,1618,1893,9319,9679,5816,451,8017,7941,5963,2924,5555,1321,9525,51867,6229,5451,14352,3776,7460,6520,5768,2311,276675,8166,9364,4543,18603,31418,8005,19627,9181,7081,106115,16270,36241,2059
